Data,Horario,Usuario,Valor,TransferID,Pais,Descricao
2018-12-06,22:19:19,Luan,598.5984,116241629,Alemanha,NA
2018-12-06,22:10:34,Jean,4610.955,115586504,Alemanha,NA
2018-12-06,21:59:50,Eva,4417.866,115079280,Alemanha,NA
2018-12-06,21:54:13,Jean,2739.618,114972398,Alemanha,NA
2018-12-06,21:41:27,Ana,1408.261,116262934,Alemanha,NA
2018-12-06,21:18:40,Eva,5051.828,115710402,Alemanha,NA
2018-12-06,20:54:32,Luan,5665.214,114830203,Alemanha,NA
2018-12-06,20:15:46,Sara,1474.44,116323455,Alemanha,NA
2018-12-06,20:04:35,Davi,8905.509,115304382,Alemanha,NA
2018-12-22,20:00:56,Davi,18521.2,114513684,Alemanha,NA
2018-12-06,19:48:39,Ana,4588.665,116281690,Alemanha,NA
2018-12-06,19:39:07,Jean,6224.433,116187120,Alemanha,NA
2018-12-06,19:32:58,Rose,5504.082,115790569,Alemanha,NA
2018-12-06,19:10:34,Rose,2627.581,116212216,Alemanha,NA
2018-12-06,19:07:50,Luan,9560.668,115917812,Alemanha,NA
2018-12-06,18:48:29,Ana,8747.758,114255039,Alemanha,NA
2018-12-21,18:46:59,Caio,16226.42,116279014,Alemanha,NA
2018-12-06,18:45:32,Ana,3284.617,115459852,Alemanha,NA
2018-12-06,18:09:15,Caio,387.596,114894102,Alemanha,NA
2018-12-06,17:58:17,Ana,14890.19,115036903,Alemanha,NA
2018-12-21,17:41:48,Eva,17583.29,115748273,Alemanha,NA
2018-12-06,17:41:45,Eva,2111.781,115975046,Alemanha,NA
2018-12-06,17:34:49,Davi,5726.127,114489509,Alemanha,NA
2018-12-06,17:19:19,Jean,5776.826,115301425,Alemanha,NA
2018-12-06,17:02:13,Jean,10536.53,116268187,Alemanha,NA
2018-12-06,16:59:38,Luan,11758.72,115580064,Alemanha,NA
2018-12-06,16:46:29,Sara,7320.383,115682194,Alemanha,NA
2018-12-06,16:36:07,Caio,1405.381,114362991,Alemanha,NA
2018-12-06,16:08:53,Rose,9927.734,115180759,Alemanha,NA
2018-12-06,15:53:15,Ana,7650.648,114736144,Alemanha,NA
2018-12-06,15:21:36,Luan,4436.112,114425893,Alemanha,NA
2018-12-06,15:12:50,Ana,14197.76,114409645,Alemanha,NA
2018-12-06,15:11:13,Caio,2431.26,115332324,Alemanha,NA
2018-12-06,14:55:06,Eva,2469.03,114816281,Alemanha,NA
2018-12-06,14:47:25,Ana,482.8322,114387526,Alemanha,NA
2018-12-06,14:45:23,Caio,909.7389,114690249,Alemanha,NA
2018-12-06,14:35:13,Sara,2895.098,114948013,Alemanha,NA
2018-12-06,14:28:33,Ana,2271.775,114279693,Alemanha,NA
2018-12-06,13:50:11,Davi,818.6205,115148416,Alemanha,NA
2018-12-06,13:43:59,Caio,8937.424,114239805,Alemanha,NA
2018-12-06,13:40:48,Eva,1212.638,116063458,Alemanha,NA
2018-12-06,13:33:08,Sara,5793.4,115289761,Alemanha,NA
2018-12-06,13:06:40,Ana,3428.746,116347342,Alemanha,NA
2018-12-06,12:59:58,Ana,206.9737,115615456,Alemanha,NA
2018-12-06,12:57:36,Eva,5819.066,115237461,Alemanha,NA
2018-12-06,11:43:49,Ana,5244.354,114403850,Alemanha,NA
2018-12-06,10:05:21,Luan,707.6096,114746955,Alemanha,NA
2018-12-06,09:50:03,Luan,1586.594,114796170,Alemanha,NA
2018-12-23,09:46:23,Jean,15395.68,115272184,Alemanha,NA
2018-12-06,09:37:04,Eva,1739.667,115549066,Alemanha,NA
2018-12-06,09:29:45,Luan,163.8242,114947643,Alemanha,NA
2018-12-06,09:14:28,Ana,13091.65,115324557,Alemanha,NA
2018-12-06,09:00:57,Eva,855.7494,114781229,Alemanha,NA
2018-12-06,08:43:31,Caio,5385.843,114951246,Alemanha,NA
2018-12-06,08:17:22,Davi,1540.353,116256690,Alemanha,NA
2018-12-06,08:10:14,Ana,4941.265,114674585,Alemanha,NA
2018-12-06,07:56:48,Sara,4922.733,114899468,Alemanha,NA
2018-12-06,07:23:32,Davi,6140.51,114640335,Alemanha,NA
2018-12-06,07:00:22,Davi,11654.86,114566119,Alemanha,NA
